reviews,sentiment
Ότι καλύτερο έχει βγάλει η apple σε tablet …..οθοναρα 120hz ……12.9 ίντσες για να κανεις τα πάντα …..Ηχος από άλλο πλανήτη …..απλά κορυφή ….,1
"Αγόρασα το παρόν tablet το καλοκαίρι του 2023. Στην αρχή πίστευα πως δεν θα μου πολύ χρειαζόταν, παρά μόνο για σειρές στο νετφλιξ, βιντεάκια κλπ (και αν). Παρόλα αυτά όσο περισσότερο το χρησιμοποιούσα τόσο περισσότερο το έβρισκα χρήσιμο. Με βοηθάει στο διάβασμα για την σχολή μου, καθώς μπορώ να βλέπω άλλα πράγματα στο laptop και άλλα στο iPad, κι έτσι να μην χρειάζεται να αλλάζω tabs και προγράμματα συνεχώς, έχει εξαιρετική οθόνη και ηχείο, συνεπώς το να βλέπω ταινίες σειρές κλπ μου είναι πολύ ευχάριστη διαδικασία και γενικότερα οι δυνατότητες που έχει είναι unlimited. Συνοπτικά, θα πρότεινα την συσκευή ανεπιφύλακτα, όμως θα συνιστούσα, μαζί με το iPad να αγοράσετε και πληκτρολόγιο (της Apple κατά προτίμηση) καθώς θα σας βολέψει περισσότερο. Όσον αφορά την τιμή, ναι είναι λίγο τσιμπημένη για τα δεδομένα της αγοράς, παρόλα αυτά, θα πω πως αξίζει μέχρι και το τελευταίο ευρώ.",1
"Έχοντας στην κατοχή μου ένα Alienware 15r4 το οποίο ειναι ΠΟΛΥ βαρύ, κουραστικα να το κουβαλάω και μου παρουσιάστηκε η ευκαιρία να πάρω το iPad Pro 12.9 σε τιμή ευκαιρίας. 

Πλέον απο το καλοκαίρι του 2023 δεν χρησιμοποιώ καθόλου σχεδόν το λαπτοπ εκτός απο κάτι games και σε συγκεκριμένα πράγματα το excel. 

Το ταμπλετ ειναι πραγματικά κορυφή. Αγόρασα και ασύρματο πληκτρολόγιο (Mx keys mini) και ποντίκι και είμαι υπέρ καλυμμένος .

Το θες ξάπλα στον Καναπε? Ειναι μια χαρά. Και το φοβόμουν μήπως ειναι βαρύ αλλά ειναι οκ…εκτός αν θες να το κρατάς με τις ώρες που δεν μου έχει τύχει.
το θες για χρήση γραφείου? Βάζεις ποντίκι-πληκτρολόγιο και ένα hub base της hitachi και ειναι τέλειο.

Η οθόνη ειναι αρκετά μεγάλη αν και δεν είχα ποτέ κάτω απο 15 ίντσες. Το συνήθισα γρήγορα. Η φωτεινότητα παααααρα πολυ καλή. Ανάλυση και χρώματα κορυφαία. Λίγο bloom κάνει όταν βλέπεις άσπρο σε μαύρο φόντο, πχ υπότιτλους αλλά δεν ενοχλεί γιατί σπάνια είμαι σε τόσο σκοτεινό περιβάλλον. 

Ηχεία τέλεια και spacious ήχος δυνατός και με αρκετό μπάσο. Πολυ καλύτερο απο τα περισσότερα λαπτοπ. 

Με το apple pen 2 κάνω κάποιες δουλειές για social media γραφικά και ποστς στο curve (vectornator) πλέον πολυ γρήγορα και εύκολα, σχεδόν όσο καλά ήμουν και στο Inkscape αφού ειναι το πιο όμοιο σε φιλοσοφία πρόγραμμα που βρήκα.

Χρήση γραφείου: Όσον αφορά file management, και με το files αλλά και κυρίως με το documents app είμαι καλυμμένος κι εκεί. Μεταφέρω τα πάντα στα πάντα μέσω clouds και δεν θες ούτε σκληρό ούτε τπτ. Φωτό απο το κινητό τις έχεις αμεσα  για τα μαιλ, σκανάρει αρχεία με κάμερα,  μετατρέπεις τα πάντα σε pdf και κανεις   edit οτι θες…. 

Τελευταία πήρα και μια 27αρα οθόνη και το χρησιμοποιώ με stage manager που πραγματικά τα σπάει. 
Έχεις και την 12.9 απο κάτω και το multitasking ειναι σε άλλο level. 

Gaming με ps5 remote play και χειριστήριο μπορείς να παίξεις σε διακοπές ότι γουστάρεις πραγματικά. Αρκεί να έχεις καλό Ίντερνετ. Ακόμα και να μην έχεις, υπάρχουν πολλά παιχνίδια όπως divinity sin 2, company of heroes, xcom 2 και πολλά άλλα απο κάθε είδος που σε γραφικά ειναι πολυ καλά. 

Στα αρνητικά τώρα:

- Στο excel έχεις κάποιες δυσκολίες μερικές φορές και θες χρήση windows.
- Σε κάποια σάιτ για κάποιο λόγο ενώ τα περισσότερα τα ανοίγει σε pc mode και όχι σε ταμπλετ λόγω μεγάλης οθόνης, σε κάποια δεν το κάνει με αποτέλεσμα να ειναι πχ σαν ζουμαρισμένο ή σε αλλά δεν μπορείς να κανεις εύκολα κάποια drag and drop κτλ. 
- Το ποντίκι έχει αυτό το ΑΠΑΙΣΙΟ μπαλάκι για κέρσορα. Συνηθίζεται όμως. 
Το χειρότερο ειναι η κίνηση του. Με αποκορύφωμα όταν το βάζεις σε external display που απλά «σέρνεται» οριακά. Εντάξει δεν ειναι τόσο Χαλια αλλά σε σχέση με την άμεση απόκριση που έχει στα windows, εδώ πάντα νιώθεις ότι κάτι λείπει, για κάποιο λόγο οι ρυθμίσεις του ειναι πολυ διαφορετικές. 
 
Αν βάλουν ένα νορμαλ βελάκι και το κάνουν πιο responsive &amp; windows like, δεν θες τπτ αλλο. 

Σε λίγο καιρό θα πάρω και ένα Mac να το έχω και σαν extended screen. Θα τα βγάλει κι εκεί τα χρήματα του. 

Αν αξίζει τα 1700€ περίπου που εκανε? Ευτυχώς που το πήρα πιο φθηνά γιατί μάλλον δε θα τα έδινα και δεν θα ήξερα τι έχανα. Το ταμπλετ αυτό ειναι έργο τέχνης και πολυεργαλείο με τέτοιο versatility που δεν βρίσκεις αλλού. Σε εμένα κάνει μια χαρά, τέλεια σε κάποια και με λίγη υπομονή και workarounds σε μερικά σημεία. Δεν έχω βρει τελείως dead end σε τπτ…ακόμα και torrents μπορείς μέσω browser. 

Γενικά το συστήνω ανεπιφύλακτα.",1
"Πρωτο ταμπλετ που παιρνω, γενικα χρησιμοποιω προιοντα apple πανω απο δεκαετια αλλα δεν ετυχε να χριεαστω ipad μεχρι τωρα. Αγοράστηκε για χρηση επαγγελματικη.
Στα θετικα: 
ΠΟΛΥ γρηγορο, smooth και γενικοτερα η εμπειρια χρησης ειναι εξαιρετικη. Ο Μ2 ειχει εξαιρετικες αποδοσεις που κανει το multitasking απαλο, δεν εχω κανενα παραπονο. Η οθονη και η απεικονιση των χρωματων ζωντανη και εντυπωσιακη. Για μενα εν τελει ισως και να ηταν overkill η pro εκδοση, αλλα ευελπιστω να το κρατησω για χρονια.
Στα αρνητικα:
Πολυ μετριο προς κακο θα ελεγα ηχειο, μηδενικο μπασο που απο μια τετοια μεγαλη συσκευη θα περιμενα κατι καλυτερο. Ακους μονο πριμα και μεσαια, τα οποια τουλαχιστον ειναι καθαρα.
Διαρκεια μπαταριας επισης μετρια κατα τη γνωμη μου, με βαρια χρηση δε βγαζεις μερα. 
Καμερα επισης πολυ κακη σε συνθηκες χαμηλου φωτισμου. Επαθα πλακα, με την κακη εννοια, οι φωτογραφιες βγαινουν τοσο πιξελιασμενες που ειναι λες και χρησιμοποιω καμερα vga. Σε συνθηκες ημερας ειναι οκ ωστοσο.
Γενικα το ταμπλετ φυσαει, αλλα δε ξερω αν καποιος δε το θελει για βαρια επαγγελματικη χρηση, αν αξιζει τη διαφορα με τα πιο απλα μοντελα.",1
"Εργαλειάρα!  Διστακτικός στην αρχή. 
Είναι τούμπανο , γρήγορο, δεν κολλάει πουθενά . 
Με ένα πληκτρολόγιο - ποντίκι μετατρέπεται σε λαπτοπ υψηλών επιδόσεων για εργασίες γραφείου .
Φούλ ικανοποιημένος ….. αν και το έχω μόνο μερικές μέρες.
Μετα απο αρκετους μηνες.
Επαυξάνω. Τελειο εργαλειο. ΔΕΝ κολλά πουθενα .
Ειχα Λαπτοπ και πλεον λογω του tablet δεν το χρησιμοποιω.",1
"Προερχόμενος από iPad Pro 12.9 M1 1TB με 16GB ram space grey, για προσωπικούς λόγους θέλησα να μετακινηθώ στο Μ2 silver.
Εκείνο που διαπιστώνεις άμεσα είναι η διαφορά στο smooth σε σχέση με το Μ1 και αυτό οφείλεται στους δύο παραπάνω πυρήνες γραφικών του νέου επεξεργαστή. Και όμως λοιπόν το άριστο (Μ1) γίνεται ακόμα πιο άριστο (Μ2). 
Οι ταχύτητες του είναι κορυφαίες και η διάρκεια της μπαταρίας του, όπως και της προηγούμενης γενιάς. Όλες οι εφαρμογές ανοίγουν άμεσα και το multitasking είναι κορυφαίο. Επίσης η ποιότητα της φωτογραφικής μηχανής είναι εξαιρετική και μπορεί να σταθεί άνετα δίπλα σε εκείνη του iPhone 14.
Το χαρακτηριστικό του Hoover είναι εντυπωσιακό και σε βοηθά να επιλέξεις τη σωστή εφαρμογή ή να σχεδιάσεις απροβλημάτιστα, όταν χρησιμοποιείς το Apple Pencil.
H cellular δυνατότητα είναι ιδιαίτερα χρήσιμη για εμάς που κινούμαστε και επαρχία, αφού βάζεις 10GB με λίγα ευρώ και… ξενοιάζεις.
Το 1ΤΒ 16GB που είχα, το είχα πάρει λόγω της έλλειψης διαθεσιμότητας του 512GB όταν έψαχνα. Και το Μ2 το πήρα μετά από 4 μήνες αναμονής (παραγγελία από 2 Νοεμβρίου, ούτε αυτοκίνητο δηλαδή…). Από τη χρήση κατάλαβα πως τα 16GB ram είναι περιττά για το iPad Pro, εκτός και αν εκτελείς βαριές εφαρμογές επεξεργασίας βίντεο ή τρέχεις AutoCAD ή άλλα σχεδιαστικά προγράμματα.
Το silver είναι ένα εντυπωσιακό χρώμα που καθιστά το iPad Pro κόσμημα. Μαζί με το λευκό Magic Keyboard το αποτέλεσμα αισθητικά είναι μοναδικό.  
Τα 4 αστέρια είναι για την αδικαιολόγητη αύξηση της τιμής και ΤΟΝ ΑΠΑΡΑΔΕΚΤΟ ΚΑΙ ΠΡΟΣΒΛΗΤΙΚΟ ΓΙΑ ΤΟΝ ΠΕΛΑΤΗ ΧΡΟΝΟ ΑΝΑΜΟΝΗΣ. Κατά τα άλλα, το συγκεκριμένο μοντέλο (12,9 ίντσες, 512GB, Cellular, silver χρώμα), το συστήνω ανεπιφύλακτα γιατί είναι η πιο ισορροπημένη έκδοση και το κρατάς για χρόνια. Το να δώσεις τόσα χρήματα να πάρεις iPad Pro σε 128GB, κοροϊδεύεις τον εαυτό σου.",1
"Αγορασα την έκδοση 6/128 με βασική χρήση για διάβασμα και σημειώσεις πανεπιστημίου. Το χρησιμοποιω επίσης περιοδικά και για προβολή ταινιών η βίντεο. Το μόνο παράπονο είναι ότι η μπαταρία είναι λίγο μικρη. Για τα λεφτά του (440.99€) το θεωρώ ιδανικό και ικανοποίησε τις απαιτήσεις μου. Δεν είναι τόσο γρήγορο όσο το one plus 8 (12/256) μου αλλά η διαφορά είναι μικρή. Το στυλό είναι πολύ βολικό και για να κρατάς σημειώσεις αλλά και για μικρές π;ρεμβ;σεις σε σχέδια του AutoCAD. Εννοείται δεν μασάει στην πλευρά του MS Otfice. Επίσης έχει δώρο 4 μήνες YouTube premium που δεν το ήξερα πριν την αγορά. Το συνιστώ για κάποιον που ψάχνει ένα οικονομικό μεν ταμπλετ για καθημερινή χρήση, αλλά εκτιμάει το καλό και αποδοτικό hardware. Από άποψη software είναι απλό και εύκολο στη χρήση ειδικά για χρήστες που γνωρίζουν ήδη το android. Η πρόστιμο κάμερα είναι μια χαρ; για βιντεοκλησεις αλλά μην περιμένετε καμία ουαου φωτογραφία. Έχοντας εμπειρία από πιο ακριβές συσκευές τύπου iPad air αλλά  και πιο φτηνές και απλές έχω να πω ότι κάπου εδώ βρίσκεται το λεγόμενο sweet spot. εάν δεν κάνετε πάρα πολύ βαριά χρήση δεν χρειάζεστε κάτι ακριβότερο.",1
"Πρώτο τάμπλετ που έχω στη ζωή μου, το πήρα για να διαβάζω manga και να σχεδιάζω/κρατάω σημειώσεις. Value for money, εξαιτερική γραφίδα, τρομερή διάρκεια μπαταρίας ενόσω σχεδιάζω. Λίγο βαρύ στις 12.4 ίντσες αλλά τρομερά portable ως τάμπλετ προφανώς. Για σημειώσεις είναι επίσης τέλειο, απλά σκεφτείτε ότι έχετε undo με στυλό :Ρ",1
"Προερχόμενος από το iPad Pro 11 ιντσών του 2018, η διαφορά είναι ιδιαίτερα αισθητή (κυρίως στο κομμάτι της οθόνης) αφού ουσιαστικά από LCD πήγα σε mini-led που διαθέτει το συγκεκριμένο μοντέλο. Η ποιότητα κατασκευής στα γνωστά άριστα επίπεδα της μαμάς Apple. Πεντακάθαρος στερεοφωνικός ήχος από 4 ηχεία που βάζουν κάτω ακόμα και ακριβά ηχοσυστήματα, φωτεινότητα οθόνης που υπο συνθήκες φτάνει τα 1200 nits και φυσικά ο ολοκαίνουργιος επεξεργαστής Μ2 ο οποίος δεν έχει αντίπαλο. Αρκετά χρήσιμη η (αποκλειστική) λειτουργία Hover του Apple Pencil καθώς γνωρίζεις άμεσα που θα πατήσει η μύτη πριν ακόμα ακουμπήσει στην οθόνη, ενώ κάποιες εφαρμογές σου δίνουν και μια προεπισκόπιση του περιεχομένου τους (π.χ. εικόνα, σύντομο βίντεο, προεπισκόπιση ιστοσελίδας κλπ.). Όσοι διαθέτουν το προηγούμενο μοντέλο με τον M1, η αναβάθμιση είναι περιττή. Για όσους προέρχονται από παλαιότερα μοντέλα (2018 και παλαιότερα) τότε σίγουρα αξίζει η αγορά του. Μοναδικό 'μελανό' σημείο, η εξαιρετικά ακριβή τιμή του.",1
Αυτό είναι μακράν το γρηγορότερο τάμπλετ που έχει περάσει ποτέ από τα χέρια μου. Έχουν περάσει σχεδόν τα πάντα μεταξύ των οποίων και το Air M1. Αλλά σε αυτό εδώ η διαφορά είναι εμφανέστατη.,1
"Είναι ότι καλύτερο έχω αγοράσει! 
Δεν συγκρίνεται με λαπτοπ άλλων εταιρειών παρότι πρόκειται για ταμπλετ. 
Έχω ακριβώς αυτό με αυτά τα χαρακτηριστικά 12.9’ 1Τ μνήμη το μόνο που μετάνιωσα είναι που σεν πήρα αυτό με το 5G . Πίστευα ότι δεν θα μου χρειαστεί αλλά τελικά θα με βόλευε ιδιαιτέρως! Όπως και να έχει θεωρώ ότι είναι ότι καλύτερο υπάρχει και ας είναι τόσο τόσο ακριβό! Π",1
Το χρησιμοποιώ για ζωγραφικη και είμαι πολύ ικανοποιημένη,1
"Τρομερή συσκευη, η Apple παίζει μπάλα μόνη της στα tablet",1
"Αγόρασα το SAmsung Tablet για καθημερινή Χρήση αλλά απογοητεύτηκα Τελείως
Την Προηγούμενη Ημέρα το Φορτισα Γεμάτο και το πήρα μαζί μου αλλά πριν ακόμη προλάβω να. το χρησιμοποιήσω έμεινε από Μπαταρία
Δεν κάνει για τον Δρόμο,Είναι για να το έχεις στο Γραφείο και. να το χρησιμοπεις λίγο
ΔΣ",-1
"Καλή αυτονομία μπαταρίας ,πολύ ωραία χρώματα ,ανθεκτικό,γρήγορο  και συνεργάζεστε άψογα με Apple Pencil, Magic Mouse 2 , Smart Keyboard",1
"Με την πρωτη τουμπα με την γνήσια θήκη το ταμπλετ έκανε λακκούβα στο πλαϊνό σασί, ακριβώς στη γωνία όπου η γνήσια θήκη δεν προστατεύει το ταμπλετ και αυτό γιατί ο έξυπνος ο κατασκευαστής αντί να προστατεύσει και τις 4 γωνίες της συσκευής σκέφτηκε για λόγους design να προστατεύσει μόνο τις 2 και απο την άλλη πλευρά να κλειδώνει η συσκευή με την θήκη στο κέντρο! το αποτέλεσμα είναι φυσικά η συσκευή να υποστει ζημιά ανεπανόρθωτη και ενώ δεν εχει σπάσει τπτ να σταματήσει να δουλεύει! Η αντιπροσωπεία ζήτησε 196€ κόστος επισκευής και το ταμπλετ το αγόρασα 220. Συγχαρητήρια στον Γερμανό και στην Lenovo για την απίστευτη διάρκεια ζωής των προϊόντων τους. Να είστε βέβαιοι θα σας ξανα προτιμήσουμε!! Σχετικά με την εμπειρία μου οσο εχει να κάνει με τις λειτουργίες του τάμπλετ δεν έμεινα ικανοποιημένος ούτε απο την ένταση και ποιότητα του ήχου ουτε απο την διάρκεια της μπαταρίας όπου την βρήκα μικρή για καινούργιας τεχνολογίας tablet. Επίσης δεν κάνει για παιδιά διότι δεν έχει δυνατότητα να κλειδώσεις τις εφαρμογές και να ζητάει pin ειδικά για το play store όπου το παιδί θα μπαίνει θέλωντας κ μή απο τις διαφημίσεις που θα του πετάγονται συνεχώς και θα πατάει αναγκαστικά πάνω για να κλείσουν και θα κατεβάζει συνεχως παιχνίδια μέχρι να γεμίσει ο αποθηκευτικός χώρος του και να σέρνεται.",-1
Είμαι πολύ ευχαριστημένη. Η οθόνη 10.5 είναι ότι πρέπει με μια καλά η θήκη είναι ανθεκτικό και ελαφρύ. Πολύ καλά η αγορά που δεν την μετανιώνω με τιποτα,1
"Αρκετά καλό, αξίζει τα λεφτά που πλήρωσα.",1
"Με λίγα λόγια: Οθονάρα, μπαταρία τεράστια, μηδέν κολλήματα και τα καλύτερα ηχεία που έχω ακούσει μέχρι τώρα σε tablet. Πολύ θετικό ότι έχει επέκταση μνήμης αν την χρειαστείς + το πενάκι. Το κατάλληλο μέγεθος μεταξύ των τριών s9 για παραγωγικότητα και ψυχαγωγία και με τη θήκη keyboard με το trackpad της Samsung και το Dex, ξεχνάς και το laptop σου (Στις βασικές εργασίες τουλάχιστον).",1
"Ειναι καλό τάμπλετ, καλή η μπαταρία και το ηχείο. Οι φωτογραφίες όμως όχι πολύ καλές. Όπως επίσης κολλάει σε μερικά παιχνίδια. Κατά τα άλλα μια χαρά ταμπλετ είναι.",1
"Ένα πολύ καλό tablet για την τιμή του. Είναι γρήγορο, το ηχείο είναι φανταστικό με Dolby Atmos, είναι ελαφρύ και η μπαταρία είναι αρκετά καλή. Οι φωτογραφίες του δεν είναι πολύ καλές (όπως με τα περισσότερα tablet σε αυτή την τιμή), αλλά γενικότερα είναι καταπληκτικό σαν tablet.",1
"Πολύ υποδεέστερο σε σχέση με το προηγούμενο Lenovo tablet μου του 2015. Η οθόνη έχει υπερβολική ευαισθησία στο μαύρο χείλος των ορίων της, με αποτέλεσμα να ενεργοποιείται σε λάθος σημεία και να δημιουργείται χάος. Έχει πολύ λεία επιφάνεια, ενώ θα έπρεπε να έχει αντιολισθητικό φινίρισμα, για να μη γλιστράει από τα χέρια. Ο ήχος πολύ μέτριος αλλά με ικανοποιητική ένταση. Το πληκτρολόγιο επίσης είναι δύσχρηστο και απαιτεί προσαρμογή για να μην παραλείπονται γράμματα. Με δυσκόλεψε πάρα πολύ και χρειάστηκαν μήνες για να το συνηθίσω. Συνολικά θα έλεγα αξιοπρεπές για την τιμή του, αλλά περίμενα περισσότερα.",0
Καταπληκτική ποιότητα εικόνας και ήχου!,1
η μπαταρία δεν κρατάει καθόλου το φορτίζω 2 φορές την ημέρα,-1
Πιστεύω πως για τα χρήματα που αξίζει είναι από τις καλύτερες επιλογές.,1
Το έχω μόνο ένα μήνα και δεν γνωρίζω κάτι για την αντοχή του στο χρόνο.,1
Είμαι πολύ ευχαριστημένος από το συγκεκριμένο tablet το οποίο και λειτουργώ συνήθως με εξωτερικό πληκτρολόγιο Samsung.,1
"Θεϊκό tablet!
Πέρα απο τα τετριμμένα, το χρησιμοποιώ για δύο ουσιαστικές για μένα εργασίες:
1. Η γυναίκα μου λατρεύει τα photo album και επωφελούμαι της οθόνης και της ισχύος για να βελτιώνω τις φωτογραφίες πριν φτιάξω το άλμπουμ.
2. Μελετάω μουσική και η μεγάλη, τέλεια οθόνη που χωρίζει στη μέση με βοηθάει να έχω απο τη μια πλευρά τις παρτιτούρες και απο την άλλη το spotify ή youtube για να παίζω με το τραγούδι.

Το μέγεθος του tab S9+ είναι το ιδανικό ανάμεσα στις τρείς εκδόσεις. Συγκριτικά, το tab S9 ultra θεωρώ ότι μπαίνει στα χωράφια του laptop και χάνει το νόημα του. Είναι πολύ βαρύ, μη ευέλικτο και το μάτι δεν μπορεί να σκανάρει όλη την οθόνη χωρίς να αυξηθεί η απόσταση. 

Τέλος, οι επιδόσεις του tab S9+ είναι υπεράνω κριτικής. Δεν κολλάει τίποτα και πουθενά...",1
"Η πιο απαράδεκτη αγορά που έκανα.Αγόρασα δυο μέσα σε ένα μήνα κ έσπασαν κ τα δυο με ένα πέσιμο κάτω.
Τα επιδιόρθωσα στην αντιπροσωπεία κ μετά από δέκα μέρες ξανά το ίδιο.Δεν το συνιστώ.",-1
"Το πήραμε δώρο στο γιο μας το Πάσχα πέρυσι μέσα σου ούτε ένα χρόνο έπεσε από του μικρού τα χέρια και έσπασε η οθόνη, γιατί δεν μπορείς να βάλεις προστασία οθόνης σε αυτό το μοντέλο τουλάχιστον, πήγαμε και ρωτήσαμε και δεν μπορούσαν να βάλουν προστασία οθόνης, λέει είναι ανθεκτικό για τα παιδιά μπορεί μόνο στα πλαϊνά του , στην οθόνη δεν είναι, δεν προστατεύεται. Επίσης μετά από 3-4 μήνες χρήση η μπαταρία του πέφτει πολύ γρήγορα, θέλει κάθε τρεις και λίγο να το φορτίζεις.",0
Είναι πολύ αργό παρότι δεν έχει μέσα έξτρα εφαρμογές . Η μπαταρία του δε φορτίζει καθόλου γρήγορα το τελευταίο διάστημα. Ολόκληρη νύχτα και το ταμπλετ δεν έχει φορτίσει 100%.,-1
"το αγορασε η κορη μου τα χριστουγεννα με τα λεφτα απο τα κάλαντα απο γνωστό κατάστημα ηλεκτρονικών 
9 μηνες μετά και δεν εχει εμφανίσει κανένα θέμα βέβαια το προσέχει και δεν το κακομεταχειρίζεται 
το πήρε για παιδικά παιχνίδια και για ταινίες 
ειναι 10 ετών 
εχει πολλές εφαρμόγες μεσα ήδη εγκαστεμήνες που είναι ειδικά για παιδιά και όχι μόνο αν υπολογίσουμε ότι ο άντρας μου παίζει συνέχεια με την κρεμάλα που έχει μέσα  
το παιδί μου έχει δέπυ και μαθησιακά μας βοήθησαν οι εφαρμογές που έχει αρκετά  
το παίζουμε πάντα με μέτρο προσωπικά θα το σύστηνα και σε άλλους αν ψάχνετε ταμπλετ για τα παιδιά σας σε αυτή την κατηγορία χρημάτων που θα επιζήσουν ειναι μια χαρά",1
"Μετα απο 5 μηνες χρηση το κουμπι που ανοιγει το ταμπλετ χαλασε ,στους 7 μηνες δεν δουλευει η αφη στην οθονη  , η διαρκεια τις μπαταριας ειναι πολυ λιγη  για την λιγη χρηση που γινεται καθημερινα",-1
"Παιδιά έχει το τάμπλετ το ανιψάκι μου και κάθε φορά που παίζω μαζί του, παθαίνω πλάκα με το πόσο γρήγορο και ελαφρύ είναι. Πραγματικά δεν έχει τίποτα να ζηλέψει απο ένα ποιοτικό tablet ενηλίκων. 
Πολύ καλή ανάλυση, πολύ καλή μπαταρία και καθαρός ήχος οταν ακούει μουσική η βλέπει βιντεάκια στο Youtube. Πραγματικά έχω χαρεί που του πήρα ένα τόσο ωραίο δώρο και στην γιορτή του θα του πάρω κάτι άλλο απο την συλλογή της εταιρίας, όπως την κάμερα που βγάλανε τώρα ή το smartwatch για να το φοράει και στο σχολείο.",1
"Το κουμπί του ήχου χάλασε μέσα στον δίμηνο απ την αγορά, του κουμπί που ανοίγει και κλείνει επίσης χάλασε αμέσως μετά. Η είσοδος του καλωδίου επίσης χάλασε, το στειλα και το φτιαξαν και τώρα δεν φορτίζει, φτάνει μέχρι το 8% η μπαταρια του. Δεν το χω ουτε χρόνο. Απλά αγοράστε κάτι άλλο.",-1
Κολλάει συνέχεια τι κουμπί του κλεδωματος χωρίς να έχει πέσει κάτω και πολλές φορές τρώει φλασιες και κολλάει η οθονη,1
Το είχαμε για τα παιδιά. Μια μέρα αποφάσισε πως χωρίς καλώδιο στην πρίζα δεν θα ξανανοίξει. Πλέον και με καλώδιο στην πρίζα δεν ανοίγει.,-1
