text;language;sentiment;hate
Πάντως ο φόβος κάνει καλά την δουλειά του. Όλοι φοράνε μάσκα , αυτό θα μας σώσει, τους λαθρομετανάστες που έχουν κατακλύσει την περιοχή κ για αυτό έχουν εκτιναχθεί τα κρούσματα δεν μπορούν να τους μαζέψουν. Στο φόβο σου ποντάρουν κ δυστυχώς κέρδισαν. Ετοιμαστείτε για τ χειρότερα;greek;negative;1
"ΣΥΝΕΧΙΖΟΥΝ ΑΚΑΘΕΚΤΟΙ ΤΟ ΜΠΟΛΙΑΣΜΑ!Μέσα σε λίγους μήνες «φύτεψαν» 4.199 #λαθρομετανάστες μόνο στο 6ο διαμέρισμα του δήμου Αθηναίων, μέσω του προγράμματος #ESTIA!Θέλουν να τελειώσουν την Ελλάδα! Μόνο η @ellinikilisi λέει ακατοίκητα νησιά &amp; άμεση απέλαση όλων των παράνομων! @velopky https://t.co/ahhg4Wr7wf";greek;negative;1
@Sofia93338779 @eUuVlcfLoduQiDT Το αστείο είναι ότι πολύ ελάχιστοι είναι οικονομολόγοι, αλλά όλοι βγάζουν τη χολή τους για να είναι πιστόλι στην κομματική γραμμή, νομίζοντας ότι η Γερμανία θα τους αφήσει αυτούς απείραχτους. Δεν ξέρουν ότι όλα τα σπίτια θα πάνε σε λαθρομετανάστες που θα γίνουν Έλληνες....;greek;negative;1
ΣΥΝΕΧΙΖEI ΑΚΑΘΕΚΤΟΣ @nmitarakis την ισλαμοποιηση Μέσα σε λίγους μήνες «φύτεψαν» 4.199 #λαθρομετανάστες μόνο στο 6ο διαμέρισμα του δήμου Αθηναίων, μέσω του προγράμματος #ESTIA!Θέλουν να τελειώσουν την Ελλάδα! @AdonisGeorgiadi @bogdanosk @AnnaAsimakopoul https://t.co/61hglhYnun;greek;negative;1
@nmitarakis ΣΥΝΕΧΙΖΟΥΝ ΑΚΑΘΕΚΤΟΙ ΤΟ ΜΠΟΛΙΑΣΜΑ!Μέσα σε λίγους μήνες «φύτεψαν» 4.199 #λαθρομετανάστες μόνο στο 6ο διαμέρισμα του δήμου Αθηναίων, μέσω του προγράμματος #ESTIA!Θέλουν να τελειώσουν την Ελλάδα! https://t.co/61hglhYnun;greek;negative;1
@bogdanosk ΣΥΝΕΧΙΖΟΥΝ ΑΚΑΘΕΚΤΟΙ ΤΟ ΜΠΟΛΙΑΣΜΑ!Μέσα σε λίγους μήνες «φύτεψαν» 4.199 #λαθρομετανάστες μόνο στο 6ο διαμέρισμα του δήμου Αθηναίων, μέσω του προγράμματος #ESTIA!Θέλουν να τελειώσουν την Ελλάδα! https://t.co/61hglhYnun;greek;negative;1
Γέμισαν και γεμίζουν την Ελλάδα με λαθρομετανάστες και μας πουλάνε πατριωτικά παπατζιλικη @AdonisGeorgiadi @nmitarakis @grigoris_d @bogdanosk;greek;negative;1
ΣΥΝΕΧΙΖΟΥΝ ΑΚΑΘΕΚΤΟΙ @AdonisGeorgiadi @nmitarakis @bogdanosk @AnnaAsimakopoul ΤΟ ΜΠΟΛΙΑΣΜΑ!Μέσα σε λίγους μήνες «φύτεψαν» 4.199 #λαθρομετανάστες μόνο στο 6ο διαμέρισμα του δήμου Αθηναίων, μέσω του προγράμματος #ESTIA!Θα τελειώσουν την Ελλάδα! https://t.co/61hglhYnun@nmitarakis;greek;negative;1
@kritikia @Vkikilias @kmitsotakis Σε όλα τα νοσοκομεία γίνετε αυτό.. Έχουν γεμίσει με λαθρομετανάστες και έσυ Έλληνα πλήρωνε φόρους;greek;negative;1
"@NikKo_ial Γατάκια μπροστα στον ελλαδιστάν του Κουλη. Ειχαμε νεο 2πλο φονικο απο μπαγκλαντεσιανο στα Χανια. η 5η δολοφονια απο λαθρομετανάστες το τελευταιο 3μηνο (προηγηθηκε 84χρονη στην Πρεβεζα, 58χρονη στα Φιλιατρα που φονευτηκαν απο πακιστανους &amp; 77χρονο στη Μανδρα απο κουβεϊτιανο).";greek;negative;1
