Model Name,Test Set,Accuracy,Precision,Recall,F1-Score,ROC AUC,Log Loss, ROC AUC (float), Uncertain Predictions, Uncertainty Threshold, Calibration Method
pharmSpellchecked,pharm_translated_greek_spellchecked,0.5194246768951416,0.475778364116095,0.8418300653594771,0.6079568442346595,0.5924106134618561,0.903439136239007
pharmSpellchecked,pharm_translated_greek_spellchecked,0.5766242354108118,0.5336219336219337,0.3452847805788982,0.4192743764172336,0.5528144205430454,0.6735982250689376,0.5924106134618561,N/A,N/A,platt
pharmSpellchecked,pharm_translated_greek_spellchecked,0.5785253760952224,0.5348583877995643,0.3667600373482726,0.4351390273623574,0.5567301595609819,0.671785718365227,0.5957365614692166,N/A,N/A,isotonic
pharmSpellchecked,targetSpellchecked,0.6402438879013062,0.6564901137178568,0.9380764163372859,0.772420443587271,0.5335383213074654,0.7645706558876538
pharmSpellchecked,targetSpellchecked,0.6508193597560976,0.6508193597560976,1.0,0.7884804063023028,0.5,0.6436918605845944,0.5382853786495758,N/A,N/A,isotonic
pharmSpellchecked,targetSpellchecked,0.6508193597560976,0.6508193597560976,1.0,0.7884804063023028,0.5,0.6452423499736515,0.5335383213074654,N/A,N/A,platt
pharmSpellchecked,datasetSpellchecked,0.7154143452644348,0.7352690094306461,0.9521022719883474,0.8297537146807812,0.542243598461466,0.6430774909576963
pharmSpellchecked,datasetSpellchecked,0.7285627676101701,0.7288920521945433,0.9988815626910121,0.8427919327583558,0.5012370214487463,0.581084462983991,0.5437989008925537,N/A,N/A,isotonic
pharmSpellchecked,datasetSpellchecked,0.728401727861771,0.728401727861771,1.0,0.8428616057482037,0.5,0.5814820973945404,0.542243598461466,N/A,N/A,platt
pharmSpellchecked,targetAndPharmTranslatedSpellchecked,0.5781442572920946,0.5671911738108157,0.7230804703712244,0.6357186296371377,0.5754673122926056,0.6747503065467797,0.6039314077797888,17110,0.2
pharmSpellchecked,targetAndPharmTranslatedSpellchecked,0.5780855684019015,0.5767045454545454,0.643590039197602,0.6083142639206712,0.5768757129640133,0.6756370776682854,0.6004565588278951,N/A,N/A,isotonic
pharmSpellchecked,targetAndPharmTranslatedSpellchecked,0.575738012794178,0.5639946855624446,0.7340903850587964,0.6378982167902224,0.5728132738204921,0.6768161915791175,0.5989456849767517,N/A,N/A,platt
